0.000000	122	-102	224
-3.000000	93	-106	199
-6.000000	118	-141	259
-9.000000	182	-154	336
-12.000000	218	-132	350
-15.000000	228	-158	386
-18.000000	214	-156	370
-21.000000	240	-157	397
-24.000000	240	-152	392
-27.000000	249	-167	416
-30.000000	251	-166	417
-33.000000	251	-158	409
-36.000000	262	-176	438
-39.000000	277	-167	444
-42.000000	270	-166	436
-45.000000	273	-164	437
-48.000000	280	-187	467
-51.000000	292	-190	482
-54.000000	301	-190	491
-57.000000	296	-185	481
-60.000000	306	-191	497
-63.000000	308	-186	494
-66.000000	326	-193	519
-69.000000	350	-185	535
-72.000000	336	-199	535
-75.000000	345	-207	552
-78.000000	332	-212	544
-81.000000	356	-210	566
-84.000000	359	-206	565
-87.000000	375	-215	590
-90.000000	363	-218	581
-93.000000	376	-206	582
-96.000000	379	-203	582
-99.000000	371	-221	592
-102.000000	359	-241	600
-105.000000	353	-232	585
-108.000000	369	-223	592
-111.000000	352	-221	573
-114.000000	350	-219	569
-117.000000	350	-244	594
-120.000000	342	-230	572
-123.000000	329	-224	553
-126.000000	339	-231	570
-129.000000	316	-234	550
-132.000000	308	-248	556
-135.000000	315	-239	554
-138.000000	298	-228	526
-141.000000	277	-235	512
-144.000000	284	-251	535
-147.000000	281	-228	509
-150.000000	280	-240	520
-153.000000	263	-230	493
-156.000000	271	-252	523
-159.000000	246	-230	476
-162.000000	235	-232	467
-165.000000	250	-238	488
-168.000000	223	-239	462
-171.000000	242	-256	498
-174.000000	236	-252	488
-177.000000	216	-247	463
-180.000000	206	-242	448
-183.000000	198	-235	433
-186.000000	201	-261	462
-189.000000	207	-263	470
-192.000000	194	-249	443
-195.000000	204	-259	463
-198.000000	195	-269	464
-201.000000	187	-262	449
-204.000000	169	-269	438
-207.000000	178	-282	460
-210.000000	177	-270	447
-213.000000	175	-265	440
-216.000000	148	-285	433
-219.000000	159	-277	436
-222.000000	155	-291	446
-225.000000	154	-290	444
-228.000000	159	-291	450
-231.000000	129	-286	415
-234.000000	136	-302	438
-237.000000	149	-305	454
-240.000000	143	-294	437
-243.000000	132	-307	439
-246.000000	149	-297	446
-249.000000	120	-323	443
-252.000000	128	-307	435
-255.000000	129	-292	421
-258.000000	128	-295	423
-261.000000	121	-319	440
-264.000000	124	-310	434
-267.000000	100	-315	415
-270.000000	115	-325	440
-273.000000	125	-297	422
-276.000000	118	-303	421
-279.000000	102	-296	398
-282.000000	92	-293	385
-285.000000	107	-291	398
-288.000000	115	-297	412
-291.000000	88	-292	380
-294.000000	118	-283	401
-297.000000	100	-283	383
-300.000000	92	-275	367
-303.000000	100	-280	380
-306.000000	92	-273	365
-309.000000	93	-263	356
-312.000000	102	-272	374
-315.000000	97	-269	366
-318.000000	88	-279	367
-321.000000	80	-258	338
-324.000000	91	-248	339
-327.000000	87	-250	337
-330.000000	84	-266	350
-333.000000	89	-262	351
-336.000000	61	-250	311
-339.000000	87	-237	324
-342.000000	66	-229	295
-345.000000	56	-224	280
-348.000000	76	-237	313
-351.000000	58	-223	281
-354.000000	64	-225	289
-357.000000	51	-225	276
-360.000000	65	-220	285
-363.000000	35	-211	246
-366.000000	63	-207	270
-369.000000	50	-203	253
-372.000000	48	-203	251
-375.000000	48	-210	258
-378.000000	54	-196	250
-381.000000	51	-204	255
-384.000000	41	-192	233
-387.000000	56	-196	252
-390.000000	52	-190	242
-393.000000	34	-153	187
-396.000000	63	-176	239
-399.000000	50	-159	209
-402.000000	30	-171	201
-405.000000	34	-145	179
-408.000000	55	-161	216
-411.000000	44	-160	204
-414.000000	42	-164	206
-417.000000	38	-144	182
-420.000000	42	-130	172
-423.000000	45	-134	179
-426.000000	36	-108	144
-429.000000	19	-105	124
-432.000000	10	-102	112
-435.000000	8	-93	101
-438.000000	24	-86	110
-441.000000	13	-92	105
-444.000000	-11	-93	82
-447.000000	-6	-70	64
-450.000000	-16	-68	52
-453.000000	-27	-68	41
-456.000000	-18	-75	57
-459.000000	-21	-66	45
-462.000000	-46	-46	0
-465.000000	-23	-62	39
-468.000000	-40	-47	7
-471.000000	-37	-34	3
-474.000000	-43	-28	15
